"provinsi","kabupaten_kota","kabkota","ibu_kota","bupati_wali_kota","luas_wilayah","jumlah_penduduk","kecamatan","total_kelurahan_desa"
"Jawa Tengah","Brebes","Kabupaten","Brebes","Urip Sihabudin (Pj.)",1902.37,1978759,17,297
"Jawa Tengah","Cilacap","Kabupaten","Cilacap","Yunita Dyah Suminar (Pj.)",2124.47,1944857,24,284
"Jawa Tengah","Demak","Kabupaten","Demak","Eisti'anah",900.12,1203956,14,249
"Jawa Tengah","Grobogan","Kabupaten","Purwodadi","Sri Sumarni",2013.86,1453526,19,280
"Jawa Tengah","Jepara","Kabupaten","Jepara","Edy Supriyanta (Pj.)",1059.25,1184947,16,195
"Jawa Tengah","Karanganyar","Kabupaten","Karanganyar","Juliyatmono",775.44,931693,17,177
"Jawa Tengah","Kebumen","Kabupaten","Kebumen","Arif Sugiyanto",1211.74,1350438,26,460
"Jawa Tengah","Kendal","Kabupaten","Kendal","Dico Ganinduto",1118.13,1018505,20,286
"Jawa Tengah","Klaten","Kabupaten","Klaten","Sri Mulyani",658.22,1260506,26,401
"Jawa Tengah","Kudus","Kabupaten","Kudus","Hartopo",425.15,849184,9,132
"Jawa Tengah","Magelang","Kabupaten","Mungkid","Zaenal Arifin",1102.93,1299859,21,372
"Jawa Tengah","Pati","Kabupaten","Pati","Henggar Budi Anggoro (Pj.)",1489.19,1324188,21,406
"Jawa Tengah","Pekalongan","Kabupaten","Kajen","Fadia Arafiq",837,968821,19,285
"Jawa Tengah","Pemalang","Kabupaten","Pemalang","Mansur Hidayat (Plt.)",1118.03,1471489,14,222
"Jawa Tengah","Purbalingga","Kabupaten","Purbalingga","Dyah Hayuning Pratiwi",677.55,998561,18,239
"Jawa Tengah","Purworejo","Kabupaten","Purworejo","Agus Bastian",1091.49,769880,16,494
"Jawa Tengah","Rembang","Kabupaten","Rembang","Abdul Hafidz",887.13,645333,14,294
"Jawa Tengah","Semarang","Kabupaten","Ungaran","Ngesti Nugraha",950.21,1053094,19,235
"Jawa Tengah","Sragen","Kabupaten","Sragen","Kusdinar Untung Yuni Sukowati",941.54,976951,20,208
"Jawa Tengah","Sukoharjo","Kabupaten","Sukoharjo","Etik Suryani",489.12,907587,12,167
"Jawa Tengah","Tegal","Kabupaten","Slawi","Umi Azizah",876.1,1596996,18,287
"Jawa Tengah","Temanggung","Kabupaten","Temanggung","Muhammad Al Khadziq",837.71,790174,20,289
"Jawa Tengah","Wonogiri","Kabupaten","Wonogiri","Joko Sutopo",1793.67,1043177,25,294
"Jawa Tengah","Wonosobo","Kabupaten","Wonosobo","Afif Nurhidayat",981.41,879124,15,265
"Jawa Tengah","Magelang","Kota","Magelang","Muhammad Nur Aziz",16.06,121526,3,17
"Jawa Tengah","Pekalongan","Kota","Pekalongan","Achmad Afzan Arslan Djunaid",45.25,307150,4,27
"Jawa Tengah","Salatiga","Kota","Salatiga","Sinoeng Noegroho Rachmadi (Pj.)",57.36,192322,4,23
"Jawa Tengah","Semarang","Kota","Semarang","Hevearita Gunaryanti Rahayu",373.78,1653524,16,177
"Jawa Tengah","Surakarta","Kota","Surakarta","Gibran Rakabuming Raka",46.01,522364,5,51
"Jawa Tengah","Tegal","Kota","Tegal","Dedy Yon Supriyono",39.68,273825,4,27
"DI Yogyakarta","Bantul","Kabupaten","Bantul","Abdul Halim Muslih",506.86,985770,17,75
"DI Yogyakarta","Gunungkidul","Kabupaten","Wonosari","Sunaryanta",1485.36,747161,18,144
"DI Yogyakarta","Kulon Progo","Kabupaten","Wates","Tri Saktiyana (Pj.)",586.27,436935,12,88
"DI Yogyakarta","Sleman","Kabupaten","Sleman","Kustini Sri Purnomo",574.82,1125804,17,86
"DI Yogyakarta","Yogyakarta","Kota","Yogyakarta","Sumadi (Pj.)",32.5,373589,14,45
"Jawa Timur","Bangkalan","Kabupaten","Bangkalan","Mohni (Plt.)",1001.44,1060377,18,281
"Jawa Timur","Banyuwangi","Kabupaten","Banyuwangi","Ipuk Fiestiandani",5782.4,1708114,25,217
"Jawa Timur","Blitar","Kabupaten","Kanigoro","Rini Syarifah",1336.48,1223745,22,248
"Jawa Timur","Bojonegoro","Kabupaten","Bojonegoro","Anna Mu'awanah",2198.79,1301635,28,430
"Jawa Timur","Bondowoso","Kabupaten","Bondowoso","Salwa Arifin",1525.97,776151,23,219
"Jawa Timur","Gresik","Kabupaten","Gresik","Fandi Akhmad Yani",1191.25,1311215,18,356
"Jawa Timur","Jember","Kabupaten","Jember","Hendy Siswanto",3092.34,2536729,31,248
"Jawa Timur","Jombang","Kabupaten","Jombang","Mundjidah Wahab",1115.09,1318062,21,306
"Jawa Timur","Kediri","Kabupaten","Ngasem","Hanindhito Himawan Pramana",1386.05,1635924,26,344
"Jawa Timur","Lamongan","Kabupaten","Lamongan","Yuhronur Efendi",1782.05,1344165,27,474
"Jawa Timur","Lumajang","Kabupaten","Lumajang","Thoriqul Haq",1790.9,1119251,21,205
"Jawa Timur","Madiun","Kabupaten","Caruban","Ahmad Dawami Ragil Saputro",1037.58,744350,15,206
"Jawa Timur","Magetan","Kabupaten","Magetan","Suprawoto",688.84,670812,18,235
"Jawa Timur","Malang","Kabupaten","Kepanjen","Sanusi",3530.65,2654448,33,390
"Jawa Timur","Mojokerto","Kabupaten","Mojosari","Ikfina Fahmawati",717.83,1119209,18,304
"Jawa Timur","Nganjuk","Kabupaten","Nganjuk","Marhaen Djumadi",1224.25,1103902,20,284
"Jawa Timur","Ngawi","Kabupaten","Ngawi","Ony Anwar Harsono",1295.98,870057,19,217
"Jawa Timur","Pacitan","Kabupaten","Pacitan","Indrata Nur Bayuaji",1389.92,586110,12,171
"Jawa Timur","Pamekasan","Kabupaten","Pamekasan","Baddrut Tamam",792.24,850057,13,189
"Jawa Timur","Pasuruan","Kabupaten","Bangil","Irsyad Yusuf",1474.02,1605969,24,365
"Jawa Timur","Ponorogo","Kabupaten","Ponorogo","Sugiri Sancoko",1305.7,949318,21,307
"Jawa Timur","Probolinggo","Kabupaten","Kraksaan","Timbul Prihanjoko (Plt.)",1696.21,1152537,24,330
"Jawa Timur","Sampang","Kabupaten","Sampang","Slamet Junaidi",1233.08,969694,14,186
"Jawa Timur","Sidoarjo","Kabupaten","Sidoarjo","Ahmad Muhdlor Ali",634.38,2082801,18,353
"Jawa Timur","Situbondo","Kabupaten","Situbondo","Karna Suswandi",1669.87,685967,17,136
"Jawa Timur","Sumenep","Kabupaten","Sumenep","Achmad Fauzi",1998.54,1124436,27,334
"Jawa Timur","Trenggalek","Kabupaten","Trenggalek","Mochamad Nur Arifin",1147.22,731125,14,157
"Jawa Timur","Tuban","Kabupaten","Tuban","Aditya Halindra Faridzky",1834.15,1198012,20,328
"Jawa Timur","Tulungagung","Kabupaten","Tulungagung","Maryoto Birowo",1055.65,1089775,19,271
"Jawa Timur","Batu","Kota","Batu","Aries Agung Paewai (Pj.)",136.74,213046,3,24
"Jawa Timur","Blitar","Kota","Blitar","Santoso",32.57,149149,3,21
